"gen" "GBMLGG" "BRCA" "KIPAN" "COADREAD" "STES" "GBM" "OV" "UCEC" "KIRC" "HNSC" "LUAD" "LGG" "LUSC" "THCA"
"1" "PIK3CA" "0.05" "0.29" "0.013" "0.054" "0.121" "0.052" "0.008" "0.243" "0.019" "0.11" "0.033" "0.047" "0.056" "0.004"
"2" "SPEN" "0.005" "0.036" "0.022" "0.025" "0.091" "0.008" "0.014" "0.051" "0.024" "0.025" "0.025" "0.002" "0.018" "0"
"3" "MAP2" "0.001" "0.019" "0.003" "0.037" "0.091" "0.002" "0.019" "0.035" "0.006" "0.025" "0.038" "0" "0.024" "0.002"
"4" "FAT3" "0.011" "0.036" "0.024" "0.04" "0.158" "0.017" "0.034" "0.086" "0.03" "0.047" "0.115" "0.004" "0.067" "0.008"
"5" "APOB" "0.029" "0.035" "0.018" "0.045" "0.11" "0.03" "0.025" "0.064" "0.019" "0.055" "0.09" "0.027" "0.079" "0.01"
"6" "TEX15" "0.012" "0.022" "0.005" "0.033" "0.054" "0.018" "0.007" "0.038" "0.006" "0.017" "0.046" "0.004" "0.028" "0.004"
"7" "SYNE1" "0.022" "0.05" "0.029" "0.099" "0.234" "0.029" "0.017" "0.068" "0.03" "0.106" "0.071" "0.014" "0.125" "0.006"
"8" "Unknown" "0.091" "0" "0.176" "0.003" "0" "0.17" "0" "0" "0.309" "0" "0.287" "0" "0.246" "0"
"9" "KIAA1409" "0.005" "0" "0.004" "0.029" "0.062" "0.01" "0.015" "0" "0.007" "0.034" "0.05" "0" "0.036" "0"
"10" "FLG" "0.048" "0.049" "0.026" "0.064" "0.177" "0.072" "0.02" "0.077" "0.02" "0.093" "0.128" "0.019" "0.085" "0.008"
"11" "TTN" "0.117" "0.176" "0.128" "0.153" "0.478" "0.153" "0.118" "0.173" "0.145" "0.28" "0.247" "0.076" "0.28" "0.034"
"12" "PTEN" "0.092" "0.032" "0.03" "0.013" "0.051" "0.15" "0.003" "0.294" "0.032" "0.009" "0.006" "0.025" "0.028" "0.004"
"13" "EGFR" "0.084" "0.008" "0.006" "0.021" "0.04" "0.131" "0.019" "0.016" "0.011" "0.032" "0.067" "0.029" "0.014" "0"
"14" "IDH1" "0.213" "0.005" "0.002" "0.006" "0.006" "0.025" "0" "0.011" "0.004" "0.004" "0.006" "0.429" "0.004" "0"
"15" "ATRX" "0.123" "0.019" "0.013" "0.011" "0.049" "0.032" "0.003" "0.049" "0.015" "0.036" "0.044" "0.229" "0.024" "0.002"
"16" "TP53" "0.207" "0.275" "0.035" "0.192" "0.463" "0.141" "0.472" "0.13" "0.013" "0.388" "0.203" "0.283" "0.29" "0.006"
"17" "CIC" "0.051" "0.008" "0.006" "0.01" "0.061" "0.002" "0.008" "0.035" "0.006" "0.011" "0.006" "0.109" "0.008" "0"
"18" "MUC16" "0.077" "0.091" "0.083" "0.079" "0.291" "0.106" "0.041" "0.109" "0.073" "0.133" "0.19" "0.045" "0.198" "0.042"
"19" "NOTCH1" "0.029" "0.009" "0.016" "0" "0.078" "0" "0.01" "0.027" "0.013" "0.108" "0.021" "0.062" "0.034" "0"
"20" "FAT1" "0.007" "0.022" "0.029" "0.025" "0.081" "0.008" "0.024" "0.082" "0.017" "0.125" "0.054" "0.006" "0.052" "0.002"
"21" "DNAH5" "0.024" "0.022" "0.017" "0.064" "0.162" "0.034" "0.024" "0.073" "0.019" "0.098" "0.056" "0.014" "0.081" "0.008"
"22" "NEB" "0.016" "0.039" "0.028" "0.038" "0.123" "0.013" "0.015" "0.069" "0.024" "0.053" "0.059" "0.019" "0.071" "0.004"
"23" "AHNAK" "0.011" "0.025" "0.021" "0.029" "0.086" "0.017" "0.022" "0.051" "0.017" "0.053" "0.073" "0.004" "0.06" "0.008"
