"gen" "BRCA" "COADREAD" "GBM" "GBMLGG" "HNSC" "KIPAN" "KIRC" "LGG" "LUAD" "LUSC" "OV" "STES" "THCA" "UCEC"
"1" "ABCA12" 0.953897 0.709346 0.777157 0.394527 0.220571 0.908235 0.737753 0.496694 0.985233 0.13109 0.552835 0.267243 0.864777 0.048462
"2" "ABCA13" 0.867471 0.808148 0.554124 0.350857 0.385929 0.088882 0.660223 0.315727 0.104036 0.647959 0.209354 0.02755 NA 0.013103
"3" "ABCA5" 0.313022 0.158074 0.571584 0.136981 0.001902 0.912494 0.308172 NA 0.98638 0.569611 0.572313 0.040055 0.767554 0.088776
"4" "ABCB1" 0.302367 0.204539 0.501541 0.921064 0.213906 0.330702 0.245042 0.877747 0.6009 0.348786 0.483882 0.573604 NA 0.049165
"5" "ABCC9" 0.236291 0.226486 0.571818 0.666823 0.133296 0.428881 0.305955 0.440498 0.739945 0.042407 0.064724 0.024233 0.864777 0.219929
"6" "ADAM6" 0.734968 0.71157 0.736728 0.271532 NA 0.047878 0.007674 NA 0.801101 0.05522 NA 0.282653 NA NA
"7" "ADAMTS12" 0.414629 0.568935 0.039308 0.081546 0.655174 0.062824 0.05475 0.404545 0.000156 0.542399 0.516466 0.20343 NA 0.237105
"8" "ADCY2" 0.307845 0.886846 0.309799 0.972699 0.465869 0.250066 0.160087 0.001479 0.034697 0.628337 0.825405 0.542662 0.809682 0.422182
"9" "AHNAK" 0.295807 0.576502 0.051013 0.00015 0.005423 0.65056 0.201483 0 0.226994 0.760336 0.117581 0.156083 0.017378 0.050149
"10" "AKAP6" 0.69901 0.092809 0.034372 0.086126 0.814827 0.675798 0.498146 0.575066 0.709712 0.00138 0.863493 0.937099 0 0.040294
"11" "AKAP9" 0.791414 0.58745 0.819918 0.735315 0.39663 0.831217 0.648537 0.479966 0.345462 0.896267 0.885492 0.260269 0.809488 0.039568
"12" "ALPK2" 0.30728 0.766736 0.428883 0.424336 0.886164 0.225456 0.675374 0.372502 0.555417 0.281751 0.006029 0.045794 0.732609 0.172948
"13" "ANK2" 0.783056 0.269349 0.189912 0.932969 0.347092 0.708502 0.231572 0.59373 0.892736 0.003182 0.3247 0.786596 0.767554 0.077733
"14" "ANK3" 0.141226 0.83518 0.267821 0.434003 0.755159 0.397931 0.432561 0.335186 0.529381 0.073074 0.226846 0.147637 0.847239 0.018405
"15" "ANKRD30A" 0.359405 0.284255 0.581873 0.637861 0.353337 0.990236 0.760994 0.976251 0.041825 0.863439 0.057234 0.408232 0.809488 0.088389
"16" "ANKRD30B" 0.553665 NA 0.484871 0.894545 0.471166 0.692134 0.490095 0.183899 0.550998 NA 3.4e-05 0.454181 0.864777 0.022965
