"nowotwor" "gen" "pvalue" "n_cancer"
"2" "COADREAD" "A2M" 0 4
"9" "LUAD" "A2M" 0 4
"11" "OV" "A2M" 0 4
"14" "UCEC" "A2M" 0.038206 4
"16" "COADREAD" "ABCA1" 0 5
"19" "HNSC" "ABCA1" 0.032069 5
"23" "LUAD" "ABCA1" 0 5
"25" "OV" "ABCA1" 0 5
"28" "UCEC" "ABCA1" 0.042025 5
"37" "LUAD" "ABCA10" 0.044852 3
"39" "OV" "ABCA10" 0 3
"42" "UCEC" "ABCA10" 0.027013 3
"44" "COADREAD" "ABCA12" 0.000193 2
"56" "UCEC" "ABCA12" 0.006472 2
"58" "COADREAD" "ABCA13" 2.2e-05 3
"66" "LUSC" "ABCA13" 0.005403 3
"70" "UCEC" "ABCA13" 0.000555 3
"72" "COADREAD" "ABCA5" 0 5
"75" "HNSC" "ABCA5" 2e-06 5
"79" "LUAD" "ABCA5" 0 5
"81" "OV" "ABCA5" 0 5
"84" "UCEC" "ABCA5" 0.04499 5
"86" "COADREAD" "ABCA8" 1.9e-05 4
"94" "LUSC" "ABCA8" 0.047249 4
"95" "OV" "ABCA8" 0.044284 4
"98" "UCEC" "ABCA8" 0.021777 4
"112" "UCEC" "ABCB1" 0.014344 1
"123" "OV" "ABCB4" 0 2
"126" "UCEC" "ABCB4" 0.024923 2
"128" "COADREAD" "ABCB5" 0 2
"140" "UCEC" "ABCB5" 0.021219 2
"150" "LUSC" "ABCC8" 0.041562 4
"151" "OV" "ABCC8" 0 4
"152" "STES" "ABCC8" 0.035144 4
"153" "THCA" "ABCC8" 0 4
"156" "COADREAD" "ADAM6" 0.049757 4
"160" "KIPAN" "ADAM6" 0.030718 4
"161" "KIRC" "ADAM6" 0.00742 4
"163" "LUAD" "ADAM6" 0.014788 4
"170" "COADREAD" "ADAM7" 0.046533 6
"172" "GBMLGG" "ADAM7" 0.004134 6
"176" "LGG" "ADAM7" 0 6
"177" "LUAD" "ADAM7" 0 6
"179" "OV" "ADAM7" 0 6
"182" "UCEC" "ADAM7" 0.038519 6
"184" "COADREAD" "ADAMTS12" 1.7e-05 2
"192" "LUSC" "ADAMTS12" 0.004596 2
"198" "COADREAD" "ADAMTS20" 4.4e-05 3
"207" "OV" "ADAMTS20" 0 3
"210" "UCEC" "ADAMTS20" 0.034191 3
"218" "LGG" "ADAMTS3" 1e-05 4
"221" "OV" "ADAMTS3" 0 4
"222" "STES" "ADAMTS3" 0.01492 4
"224" "UCEC" "ADAMTS3" 0.026686 4
"228" "GBMLGG" "ADCY9" 0.049466 5
"229" "HNSC" "ADCY9" 0.027436 5
"233" "LUAD" "ADCY9" 0 5
"235" "OV" "ADCY9" 0 5
"238" "UCEC" "ADCY9" 0.048783 5
"240" "COADREAD" "AFF2" 0.002741 3
"245" "KIRC" "AFF2" 4.6e-05 3
"252" "UCEC" "AFF2" 0.010327 3
"256" "GBMLGG" "AHCTF1" 0.018079 3
"263" "OV" "AHCTF1" 0 3
"266" "UCEC" "AHCTF1" 0.024416 3
"277" "OV" "AHNAK" 0.022715 2
"280" "UCEC" "AHNAK" 0.00623 2
"282" "COADREAD" "AHNAK2" 0.000243 5
"284" "GBMLGG" "AHNAK2" 0.009857 5
"288" "LGG" "AHNAK2" 3e-06 5
"289" "LUAD" "AHNAK2" 0.011874 5
"294" "UCEC" "AHNAK2" 0.011799 5
"303" "LUAD" "AKAP11" 0 3
"305" "OV" "AKAP11" 0 3
"308" "UCEC" "AKAP11" 0.039334 3
"310" "COADREAD" "AKAP6" 0.000942 3
"321" "THCA" "AKAP6" 0 3
"322" "UCEC" "AKAP6" 0.016064 3
"336" "UCEC" "AKAP9" 0.018407 1
"341" "HNSC" "ALG13" 0.01142 6
"342" "KIPAN" "ALG13" 4.1e-05 6
"343" "KIRC" "ALG13" 0.000582 6
"345" "LUAD" "ALG13" 0 6
"347" "OV" "ALG13" 0 6
"350" "UCEC" "ALG13" 0.043503 6
"351" "BRCA" "ALMS1" 0.000793 3
"352" "COADREAD" "ALMS1" 1e-06 3
"364" "UCEC" "ALMS1" 0.014583 3
"367" "GBM" "ALS2CR11" 0 7
"368" "GBMLGG" "ALS2CR11" 0 7
"370" "KIPAN" "ALS2CR11" 0 7
"371" "KIRC" "ALS2CR11" 0 7
"373" "LUAD" "ALS2CR11" 0 7
"375" "OV" "ALS2CR11" 0 7
"378" "UCEC" "ALS2CR11" 0.04973 7
"380" "COADREAD" "ANK2" 0.00268 2
"392" "UCEC" "ANK2" 0.034368 2
"393" "BRCA" "ANK3" 0.000255 3
"394" "COADREAD" "ANK3" 0.029319 3
"406" "UCEC" "ANK3" 0.004547 3
"415" "LUAD" "ANKRD30A" 0.020055 2
"420" "UCEC" "ANKRD30A" 0.023546 2
"428" "LGG" "ANKRD30B" 0.004994 3
"432" "STES" "ANKRD30B" 0.017961 3
"434" "UCEC" "ANKRD30B" 0.007583 3
"443" "LUAD" "ANKRD36" 0 3
"445" "OV" "ANKRD36" 0 3
"448" "UCEC" "ANKRD36" 0.044873 3
"450" "COADREAD" "ANO2" 0.01165 5
"451" "GBM" "ANO2" 1.1e-05 5
"457" "LUAD" "ANO2" 0 5
"459" "OV" "ANO2" 0 5
"462" "UCEC" "ANO2" 0.041439 5
"468" "KIPAN" "ANO4" 0.019853 5
"469" "KIRC" "ANO4" 0.048365 5
"472" "LUSC" "ANO4" 0.046861 5
"473" "OV" "ANO4" 0 5
"476" "UCEC" "ANO4" 0.029191 5
"478" "COADREAD" "APC" 1.4e-05 4
"482" "KIPAN" "APC" 0.003174 4
"484" "LGG" "APC" 0.002112 4
"490" "UCEC" "APC" 0.002842 4
"492" "COADREAD" "APOB" 0 2
"504" "UCEC" "APOB" 0.002376 2
"513" "LUAD" "AQR" 0 3
"515" "OV" "AQR" 0 3
"518" "UCEC" "AQR" 0.049525 3
"532" "UCEC" "ARAP2" 0.011997 1
"534" "COADREAD" "ARFGEF1" 0 4
"541" "LUAD" "ARFGEF1" 0 4
"543" "OV" "ARFGEF1" 0 4
"546" "UCEC" "ARFGEF1" 0.043001 4
"548" "COADREAD" "ARFGEF2" 0.014289 4
"552" "KIPAN" "ARFGEF2" 0.00041 4
"553" "KIRC" "ARFGEF2" 3e-06 4
"560" "UCEC" "ARFGEF2" 0.018227 4
"561" "BRCA" "ARHGAP20" 0.016252 7
"562" "COADREAD" "ARHGAP20" 0 7
"563" "GBM" "ARHGAP20" 0.004107 7
"564" "GBMLGG" "ARHGAP20" 8.3e-05 7
"569" "LUAD" "ARHGAP20" 0 7
"571" "OV" "ARHGAP20" 0 7
"574" "UCEC" "ARHGAP20" 0.042297 7
"576" "COADREAD" "ARHGAP31" 0 4
"583" "LUAD" "ARHGAP31" 0 4
"585" "OV" "ARHGAP31" 0 4
"588" "UCEC" "ARHGAP31" 0.039236 4
"592" "GBMLGG" "ARID1A" 0.023021 2
"602" "UCEC" "ARID1A" 0.000416 2
"604" "COADREAD" "ASCC3" 0 3
"612" "LUSC" "ASCC3" 0.000231 3
"616" "UCEC" "ASCC3" 0.016837 3
"621" "HNSC" "ASH1L" 0.009044 2
"630" "UCEC" "ASH1L" 0.011975 2
"632" "COADREAD" "ASPM" 0.001825 3
"633" "GBM" "ASPM" 0.023813 3
"644" "UCEC" "ASPM" 0.000927 3
"646" "COADREAD" "ASTN1" 0.000181 3
"652" "LGG" "ASTN1" 0.000403 3
"653" "LUAD" "ASTN1" 0.036014 3
"670" "STES" "ASXL1" 0.015949 1
"674" "COADREAD" "ASXL3" 0.015019 4
"678" "KIPAN" "ASXL3" 0.047814 4
"679" "KIRC" "ASXL3" 0.034795 4
"686" "UCEC" "ASXL3" 0.010555 4
"687" "BRCA" "ATG2B" 0.049383 3
"697" "OV" "ATG2B" 0 3
"700" "UCEC" "ATG2B" 0.032147 3
"702" "COADREAD" "ATM" 0.000375 4
"711" "OV" "ATM" 0.011209 4
"712" "STES" "ATM" 0.018206 4
"714" "UCEC" "ATM" 0.001757 4
"715" "BRCA" "ATP10A" 0.041219 2
"728" "UCEC" "ATP10A" 0.015756 2
