"BRCA" "COADREAD" "GBM" "GBMLGG" "HNSC" "KIPAN" "KIRC" "LGG" "LUAD" "LUSC" "OV" "STES" "THCA" "UCEC"
"SPEN" 0.02096 0.02534 0.9245 0.6385 0.1402 0.4057 0.4729 0.7604 0.2206 0.4437 0.7316 0.8727 NA 0.01156
"PIK3CA" 0.03828 3.365e-11 0.1296 0.2078 0.7831 0.7593 0.6072 0.2425 0.9996 0.08591 0.5392 0.7185 0.6779 0.001046
"HMCN1" 0.04163 0.1223 0.08749 0.02099 0.8043 0.09942 0.2023 0.6034 0.4932 0.5825 0.03869 0.1552 0.8874 0.001164
"TP53" 0.04259 0.07978 0.8419 6.315e-07 2.424e-05 0.7519 0.002653 0.6455 0.02844 0.7568 0.7802 0.6572 0.6051 0.5654
"TTN" 0.3884 0 0.1229 0.0001333 0.3916 0.388 0.9904 0.1213 0.5161 0.0004271 0.99 0.06769 0.2807 4.441e-16
"FAT3" 0.0008759 0 0.01949 0.007353 0.3429 0.6212 0.1906 0.552 0.2013 0.006834 0.1521 0.4565 0.9001 0.1323
"FLG" 0.7153 2.22e-16 0.5778 0.0001603 0.03745 0.2739 0.7366 2.76e-06 0.1874 0.4357 0.5411 0.07818 0.9362 0.1492
"HYDIN" 0.5838 5.551e-16 0.00984 1.823e-05 0.4486 0.7164 0.8032 NA 0.5991 0.02724 0.9335 0.3945 1 0.0008569
"CSMD1" 0.2798 2.776e-15 0.7216 0.1407 0.2574 0.5991 0.9033 NA 0.5619 0.02929 0.3072 0.9391 0.0001422 0.0008423
"USH2A" 0.4547 2.171e-12 0.5778 0.1577 0.6711 0.4491 0.5447 0.03869 0.05188 0.13 0.395 0.4972 0.6235 1.118e-05
"MUC16" 0.3737 2.895e-12 0.00188 3.441e-05 0.109 0.4742 0.1902 0.2077 0.949 0.051 0.3962 0.7696 0.4603 3.061e-05
"MAP2" 0.3846 4.836e-12 0.09852 0.01421 0.0684 0.3859 0.547 NA 0.3978 0.5664 0.3057 0.6279 1 0.02527
"LRP1B" 0.2725 2.278e-11 0.06858 0.02177 0.1264 0.9952 0.8808 0.3503 0.7676 0.9279 0.2793 0.1269 0.633 0.0002887
"SYNE1" 0.614 3.942e-11 0.7222 0.1673 0.1522 0.003011 0.01473 0.4633 0.1411 0.09502 0.3957 0.933 0.6308 2.751e-05
"RYR3" 0.3331 1.644e-10 0.7299 0.01436 0.4371 0.4851 0.6324 0.7496 0.6574 0.04896 0.1361 0.6093 1 0.002465
"ZFHX4" 0.1283 1.736e-10 0.5001 0.4165 0.7981 0.103 0.03117 0.6994 0.01464 0.7792 0.6972 0.3901 1 0.0001126
"MDN1" 0.5448 2.564e-10 0.2255 0.56 0.5915 0.877 0.9657 0.9253 0.6835 0.7372 0.6143 0.9335 0.3002 0.02239
"COL6A3" 0.84 9.828e-10 0.9757 0.09363 0.1594 0.09056 0.3497 0.001156 0.7478 0.1247 0.1329 0.7403 0.8545 0.09025
"PCLO" 0.4794 5.55e-09 0.1323 0.01682 0.4696 0.2179 0.2773 0.9364 0.692 0.1777 0.9608 0.9567 1 0.0005101
"APOB" 0.2645 1.107e-08 0.1878 0.07906 0.6652 0.7775 0.53 0.8717 0.9298 0.182 0.2568 0.9656 0.8723 0.002376
"DNAH9" 0.1241 1.355e-08 0.4471 0.9325 0.1649 0.4892 0.4997 0.8425 0.8304 0.04012 0.1935 0.8856 0.5974 0.0006889
"ZDBF2" 0.02955 2.134e-08 0.8354 0.5842 0.927 0.3444 0.5651 0.6614 0.5947 0.6726 0.3979 0.9021 1 0.01196
"KIAA1409" NA 2.14e-08 0.7701 0.4728 0.8427 0.4419 0.67 NA 0.08747 0.531 0.8565 0.7097 NA NA
"NEB" 0.308 2.401e-08 0.7587 0.4694 0.1513 0.1199 0.399 0.649 0.3177 0.9548 0.4789 0.9981 0.9231 0.0004961
"CACNA1E" 0.1779 4.47e-08 0.1188 0.7219 0.2657 0.09144 0.02055 0.0001934 0.6286 0.07069 0.8377 0.8567 0.5238 0.01311
"FAT1" 0.6516 1.149e-07 0.9314 0.2214 0.2289 0.1732 0.2985 0.1466 0.7212 0.1607 0.1346 0.3513 1 4.745e-05
"FN1" 0.3508 2.595e-07 0.9105 0.522 0.6008 0.8323 0.3609 0.8407 0.4947 0.9837 1 0.3257 1 0.1088
"DNAH3" 0.6266 7.697e-07 0.6702 0.1788 0.769 0.8427 0.5481 0.6842 0.8499 0.6658 0.81 0.9948 0.9231 0.0003055
